                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.68824,                0.55777,                 1.1197,                0.77967,                0.86163,                0.88789,                0.60661,                 1.1759,                0.84572,                 1.6994,               0.002773,               0.002773,               0.002773
                     75,                0.68276,                0.55028,                 1.1223,                0.80391,                0.86272,                0.89122,                0.59689,                 1.2213,                 0.8105,                 1.7256,               0.002674,               0.002674,               0.002674
                     76,                0.67318,                0.55026,                 1.1212,                0.86293,                0.80208,                0.89772,                0.63077,                 1.1405,                0.88792,                  1.669,               0.002575,               0.002575,               0.002575
                     77,                0.66766,                0.55698,                 1.1158,                0.86325,                0.78259,                0.87314,                0.60661,                 1.1218,                0.95241,                 1.6358,               0.002476,               0.002476,               0.002476
                     78,                0.65287,                 0.5389,                 1.1067,                0.82062,                0.81145,                0.85948,                0.60606,                 1.0962,                 0.9224,                 1.6254,               0.002377,               0.002377,               0.002377
                     79,                0.66377,                0.55787,                 1.0989,                 0.8911,                0.81815,                0.87708,                0.60565,                 1.1183,                0.89227,                 1.6581,               0.002278,               0.002278,               0.002278
                     80,                 0.6623,                 0.5452,                 1.1278,                0.93466,                 0.8045,                0.89798,                0.62648,                 1.1235,                0.89318,                 1.6837,               0.002179,               0.002179,               0.002179
                     81,                0.65003,                0.52959,                 1.1064,                0.90136,                 0.8039,                0.88213,                0.61773,                 1.1129,                0.83793,                  1.661,                0.00208,                0.00208,                0.00208
                     82,                0.64789,                0.52575,                 1.1109,                0.92292,                0.80289,                0.88355,                0.62569,                 1.1043,                0.80329,                 1.6378,               0.001981,               0.001981,               0.001981
                     83,                0.67193,                0.55574,                 1.1241,                0.89318,                0.84901,                 0.9262,                0.65464,                 1.1138,                0.77212,                 1.6294,               0.001882,               0.001882,               0.001882
                     84,                 0.6537,                 0.5323,                 1.1044,                0.89285,                 0.8256,                0.91375,                0.62433,                 1.1198,                0.80801,                 1.6426,               0.001783,               0.001783,               0.001783
                     85,                0.62376,                0.52582,                 1.0974,                0.96176,                0.81913,                0.91233,                0.64202,                 1.1157,                0.81313,                 1.6201,               0.001684,               0.001684,               0.001684
                     86,                 0.6365,                0.51127,                 1.0877,                0.91949,                0.84557,                0.92937,                0.66239,                 1.0599,                0.77188,                 1.5916,               0.001585,               0.001585,               0.001585
                     87,                0.63377,                0.50471,                 1.1001,                0.83358,                0.88112,                0.94511,                0.65665,                 1.0981,                0.82494,                  1.631,               0.001486,               0.001486,               0.001486
                     88,                0.62277,                0.49784,                 1.0989,                 0.8066,                0.84669,                0.92245,                0.64263,                 1.1281,                0.81515,                 1.6651,               0.001387,               0.001387,               0.001387
                     89,                0.62836,                 0.5038,                 1.0954,                0.77777,                0.84128,                0.90247,                0.63997,                 1.1198,                0.83094,                 1.6665,               0.001288,               0.001288,               0.001288
                     90,                0.62072,                0.48461,                 1.0805,                0.94904,                0.83154,                0.93638,                0.67226,                 1.0848,                0.75795,                 1.6218,               0.001189,               0.001189,               0.001189
                     91,                0.61547,                0.48182,                 1.0788,                0.95745,                0.82764,                0.92335,                0.64371,                  1.085,                0.75889,                  1.641,                0.00109,                0.00109,                0.00109
                     92,                0.58658,                0.47401,                 1.0716,                0.93158,                0.81062,                0.90627,                0.64234,                 1.0801,                 0.8014,                 1.6312,               0.000991,               0.000991,               0.000991
                     93,                0.60815,                0.48874,                 1.0905,                0.94174,                0.79299,                0.90373,                 0.6358,                 1.0566,                0.80272,                 1.6017,               0.000892,               0.000892,               0.000892
                     94,                0.58901,                0.46693,                 1.0655,                0.86385,                0.82875,                0.90603,                0.64673,                 1.0534,                0.81545,                 1.5961,               0.000793,               0.000793,               0.000793
                     95,                0.60144,                0.48605,                 1.0776,                 0.8688,                0.85305,                0.91485,                0.65101,                 1.0586,                0.79919,                 1.6121,               0.000694,               0.000694,               0.000694
                     96,                0.56916,                0.47811,                 1.0588,                0.88084,                0.82307,                0.91637,                0.64583,                 1.0576,                  0.797,                 1.6211,               0.000595,               0.000595,               0.000595
                     97,                0.58561,                0.47355,                 1.0734,                0.92585,                0.78473,                0.90687,                0.63645,                 1.0631,                0.80695,                 1.6188,               0.000496,               0.000496,               0.000496
                     98,                0.59297,                 0.4674,                 1.0738,                0.82684,                 0.8526,                0.90713,                0.63108,                 1.0506,                 0.8161,                 1.6051,               0.000397,               0.000397,               0.000397
                     99,                0.56213,                0.46314,                 1.0674,                0.82566,                0.87651,                0.91045,                0.63541,                 1.0466,                0.80196,                 1.6016,               0.000298,               0.000298,               0.000298
